symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
8516	abdominalwallwound	Abdominal wall wound	2	C2237640	abdominal wall wound	METAMAP_STRING_MATCH			a wound to the abdomen that may result from a knife or gunshot wound, or from surgery.
8517	analstenosis	Anal stenosis	2						Narrowing of the opening of the anus.
8518	csfvolumeincreased	CSF volume increased	2	C2747920	CSF volume increased	UMLS_API			A rise in the amount of cerebrospinal fluid in and around the brain and spinal cord.
8519	uterineirritability	Uterine irritability	2	C0233143	Uterine irritability	UMLS_API			a condition in which the uterine muscles contract without any obvious cause.  Uterine irritability is a condition in which the uterine muscles contract without any obvious cause. This may lead to pain, bleeding, and spotting. Treatment may include medications to relax the muscles or surgery to remove the uterus.
8520	coagulationfactorviilevel	Coagulation factor VII level	2	C0855404	Coagulation factor VII level	UMLS_API			A Coagulation factor VII level is a measure of the amount of coagulation factor VII in a person's blood.
8521	t-lymphocytecountabnormal	T-lymphocyte count abnormal	2	C1112351	T-lymphocyte count abnormal	UMLS_API			a T-lymphocyte count that is lower than normal.  A T-lymphocyte count that is lower than normal can be a sign of a variety of health problems, including infection, cancer, and autoimmune disorders.
8522	herpesvirustestabnormal	Herpes virus test abnormal	2	C4324402	Herpes virus test abnormal	UMLS_API			A herpes virus test result is considered abnormal if the test detects the presence of the herpes virus.
8523	infectedskinulcer	Infected skin ulcer	2						an open sore on the skin that is caused by a bacterial, fungal, or viral infection.  Infected skin ulcers can be caused by a bacterial, fungal, or viral infection. The most common types of infections that cause skin ulcers are bacterial and fungal infections.
8524	pneumocephalus	Pneumocephalus	2	C0032268	Pneumocephalus	UMLS_API		Presence of air or gas within the intracranial cavity (e.g., epidural space, subdural space, intracerebral, etc.) which may result from traumatic injuries, fistulous tract formation, erosions of the skull from NEOPLASMS or infection, NEUROSURGICAL PROCEDURES, and other conditions.	The presence of air or gas in the cranial cavity.
8525	griefreaction	Grief reaction	2	C0018235	Grief reaction	UMLS_API		Feeling of great sorrow	a psychological response to a personal loss.  A psychological response to a personal loss would be a grieving process. This could involve feeling a variety of emotions such as sadness, anger, guilt, and anxiety. It is normal to experience these responses after a loss, and it is important to allow yourself to feel them.
8526	complicationsoftransplantsurgery	Complications of transplant surgery	2	C0854567	Complications of transplant surgery	UMLS_API			Complications of transplant surgery are medical problems that may occur during or after a transplant operation. They can include problems with the new organ, such as rejection, infection, or organ failure, as well as complications from the surgery itself, such as bleeding, infection, or organ damage.
8527	cleftlip	Cleft lip	2						:  A congenital deformity in which the two halves of the upper lip do not meet, leaving an opening (cleft) in the middle.
8528	retractednipple	Retracted nipple	2						A nipple that is no longer visible because it is pulled into the breast.
8529	expireddeviceused	Expired device used	2	C3665738	Expired device used	UMLS_API			:  A device is considered expired if it is no longer authorized to be used by the wireless carrier.
8530	hipdeformity	Hip deformity	2	C0239954	hip deformity	METAMAP_STRING_MATCH			A hip deformity is an abnormal curvature of the hip bones.
8531	delusionofgrandeur	Delusion of grandeur	2						a mental disorder in which a person has an unrealistic belief that he or she is superior to others.
8532	delusionaldisordererotomanictype	Delusional disorder, erotomanic type	2	C0855261	Delusional disorder, erotomanic type	UMLS_API			A condition characterized by a persistent belief that someone, usually of a higher social status, is in love with the person afflicted with the disorder.
8533	dissociativeidentitydisorder	Dissociative identity disorder	2	C0026773	Dissociative Identity Disorder	UMLS_API		A disorder characterized by the presence of two or more identities with distinct patterns of perception and personality which recurrently take control of the person's behavior; this is accompanied by a retrospective gap in memory of important personal information that far exceeds ordinary forgetfulness.	a mental health disorder characterized by having TWO or more distinct personalities or personality states that alternately controls a person's behavior.
8534	ankledeformity	Ankle deformity	2	C1396651	Ankle deformity	UMLS_API			a condition in which the ankle joint is not in its usual position.  There are a few different types of ankle deformities, including:  - Ankle dorsiflexion deformity: This is when the ankle is angled too far forward, and the toes point down.  - Ankle plantarflexion deformity: This is when the ankle is angled too far back, and the toes point up.  - Ankle inversion deformity: This is when the ankle turns inward, so the sole of the foot faces the floor.  - Ankle eversion deformity: This is when
8535	proteinsabnormal	Protein S abnormal	2	C0948156	Protein S abnormal	UMLS_API			A congenital disorder caused by a mutation in the gene encoding Protein S, a vitamin K-dependent plasma glycoprotein that is a cofactor for activated Protein C. This disorder results in a quantitative or qualitative deficiency of Protein S, which can lead to an increased risk of thrombosis.
8536	digestiveenzymeabnormal	Digestive enzyme abnormal	2	C4727870	Digestive enzyme abnormal	UMLS_API			digestive enzyme abnormal: a medical condition in which the digestive enzymes produced by the body are not functioning properly.
8537	intervertebraldiscdisplacement	Intervertebral disc displacement	2						when one or more of the spinal discs between the vertebrae move out of alignment.
8538	misophonia	Misophonia	2	C4324623	Misophonia	UMLS_API		An adverse response (dislike) to sound no matter what volume the sound is, characterized by a strong negative reaction to soft sounds that can sometimes be further triggered by seeing the source of the offending sound.	a condition where certain sounds, usually soft and repetitive, trigger a negative physical reaction, such as disgust, anger, or fear.  Misophonia is when a person has a strong emotional reaction to a sound. The sound that triggers the reaction could be anything, but it is usually something soft and repetitive, like a chewing noise. People with misophonia feel fear, anger, or disgust when they hear the sound.
8539	benignneoplasmofcervixuteri	Benign neoplasm of cervix uteri	2						A neoplasm that is not cancerous and does not spread to other parts of the body.
8540	modifiedrankinscore	Modified Rankin score	2	C3888574	Modified Rankin score	UMLS_API			A measure of disability caused by a brain injury or stroke, on a scale from 0 (no disability) to 6 (total dependence).
8541	lithiasis	Lithiasis	2	C0023869	Lithiasis	UMLS_API		The formation of stones (calculi) in the body.	A condition that is characterized by the presence of stones in the urinary tract.
8542	limbamputation	Limb amputation	2	C0002689	limb amputation	METAMAP_STRING_MATCH			the surgical removal of a limb, most often an arm or a leg.
8543	pelvicboneinjury	Pelvic bone injury	2	C3544169	Pelvic bone injury	UMLS_API			A pelvic bone injury is a fracture, dislocation, or other injury to any of the bones in the pelvic area. These injuries can be very serious, and can often lead to long-term disability.
8544	retirement	Retirement	2	C0035345	Retirement	UMLS_API		withdrawal from one's occupation or active working life: having concluded one's working or professional career.	"the point at which an individual stops working.  There is no one-size-fits-all definition of retirement, as it can mean different things to different people. In general, retirement is considered the point at which an individual stops working, either by choice or due to circumstances such as age or health. Some people use the term ""retirement"" to refer to the act of withdrawing from the workforce, while others use it to describe the end result of that withdrawal, such as reaching a certain age or possessing a certain amount of savings."
8545	exposureviaunknownroute	Exposure via unknown route	2	C4324285	Exposure via unknown route	UMLS_API			If someone has been exposed to a disease or infection but the route by which they were exposed is unknown, they are said to have been exposed via unknown route.
8546	fatembolism	Fat embolism	2						A condition that occurs when fat globules escape from the bloodstream and are carried to other parts of the body, where they block the flow of blood and oxygen. Fat embolism can lead to death.
8547	urinealcoholtest	Urine alcohol test	2	C0202305	urine alcohol test	METAMAP_STRING_MATCH			a test to measure the amount of alcohol in urine.
8548	vertebralwedging	Vertebral wedging	2	C1695776	Vertebral wedging	METAMAP_STRING_MATCH		An abnormal shape of the vertebral bodies whereby the vertebral bodies are thick on one side and taper to a thin edge at the other.	A vertebra with a wedge-shaped body, due to a defect in the development of the vertebral arch.
8549	smallcelllungcancermetastatic	Small cell lung cancer metastatic	2	C0746087	Small cell lung cancer metastatic	UMLS_API			Small cell lung cancer metastatic is a type of lung cancer that has spread from the original site in the lungs to other parts of the body.
8550	interferongammalevelincreased	Interferon gamma level increased	2	C3804994	Interferon gamma level increased	UMLS_API			When the amount of Interferon gamma (IFN-γ) in a person's blood increases, it means that their body is producing more of this protein than normal.
8551	urineelectrolytes	Urine electrolytes	2						a measure of the electrolytes in urine.  Urine electrolytes is a measure of the electrolytes in urine. This includes measurements of sodium, potassium, chloride, and other electrolytes.
8552	infertilitytests	Infertility tests	2						a set of medical tests used to determine the cause of infertility in a couple.
8553	pelvicfloormuscleweakness	Pelvic floor muscle weakness	2	C1535916	Pelvic Floor Muscle Weakness	UMLS_API		A reduction in the strength of the muscles of the pelvic floor.	pelvic floor muscle weakness is a condition that occurs when the pelvic floor muscles cannot contract properly. This can lead to a range of problems, including incontinence and prolapse.
8554	gastrointestinalscarring	Gastrointestinal scarring	2	C4728124	Gastrointestinal scarring	UMLS_API			Scarring of the gastrointestinal tract, which can be a result of surgery, infection, or inflammation. This can lead to narrowing (stenosis) of the intestinal passage, which can impair the flow of food and waste through the digestive system.
8555	progesteroneabnormal	Progesterone abnormal	2	C0033308	progesterone	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	8.29		A hormone that is abnormally low in quantity or is absent in a woman's body.
8556	bilirubinconjugatedabnormal	Bilirubin conjugated abnormal	2	C1963819	Bilirubin conjugated abnormal	UMLS_API			An increase in the level of unconjugated bilirubin in the blood.
8557	mucosalinfection	Mucosal infection	2	C1698484	Mucosal Infection	UMLS_API		An acute or chronic infectious process affecting a mucosal surface.	A mucosal infection is an infection that affects the mucous membranes. The mucous membranes line body cavities that open to the outside environment, such as the nose, mouth, lungs, and gastrointestinal tract. Mucosal infections can be caused by a variety of pathogens, including viruses, bacteria, and parasites. Symptoms vary depending on the location and severity of the infection, but may include fever, headache, diarrhea, coughing, and sneezing. Treatment depends on the cause of the infection and may include antibiotics, antivirals, or antifungals.
8558	breastatrophy	Breast atrophy	2						Breast atrophy is the wasting away of the breast tissue. The breasts may become smaller and more droopy.
8559	clotretraction	Clot retraction	2	C0368983	Clot retraction	UMLS_API			A clot is a plug of blood that forms to plug a hole in a blood vessel. Retraction is the process by which a clot pulls inward, away from the opening in the blood vessel.
8560	porphyrinsurinenormal	Porphyrins urine normal	2	C1167970	Porphyrins urine normal	UMLS_API			A porphyrinuria is a condition that results in the excretion of excessive levels of porphyrins in the urine.
8561	mediastinalshift	Mediastinal shift	2	C0264576	Mediastinal shift	UMLS_API		Displacement of structures in the thoracic cavity in one direction due to increased pleural pressure on the contralateral side.	the displacement of the mediastinum, the central part of the chest, either to the right or to the left.
8562	therapeuticproducteffectincreased	Therapeutic product effect increased	2	C4761093	Therapeutic product effect increased	UMLS_API			The therapeutic product effect increased refers to a situation where the therapeutic effects of the product are amplified, leading to a better outcome for the patient.
8563	ultrasoundheadnormal	Ultrasound head normal	2						an ultrasound head that is not enlarged or abnormal in shape.
8564	t-cellreceptorgenerearrangementtest	T-cell receptor gene rearrangement test	2	C3665957	T-cell receptor gene rearrangement test	UMLS_API			A t-cell receptor gene rearrangement test is a type of genetic test used to determine whether a person has a specific t-cell receptor gene rearrangement. This type of test can be used to help diagnose certain types of lymphoma.
8565	biopsybladderabnormal	Biopsy bladder abnormal	2	C0853413	Biopsy bladder abnormal	UMLS_API			Biopsy of the urinary bladder is a test that uses a thin, hollow needle to remove tissue from the bladder for examination under a microscope.
8566	hypersplenism	Hypersplenism	2	C0020532	Hypersplenism	UMLS_API		Overactive functioning of the spleen, resulting in excessive destruction of blood cells.	A medical condition in which the spleen is enlarged and functioning abnormally. Symptoms may include fatigue, easy bruising and bleeding, and a low red blood cell count.
8567	eczemaweeping	Eczema weeping	2	C1096398	Eczema weeping	UMLS_API			skin inflammation with redness, swelling, itching and fluid-filled blisters.
8568	hepatitisdantigen	Hepatitis D antigen	2						A virus that infects the liver and causes hepatitis D.
8569	americantrypanosomiasis	American trypanosomiasis	2	C0041234	Chagas Disease	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14	Chagas disease, or American trypanosomiasis, is an illness that can cause serious heart and stomach problems.	also known as African sleeping sickness. It is a parasitic disease caused by the protozoan Trypanosoma brucei gambiense, which is transmitted by the tsetse fly.
8570	dentalcleaning	Dental cleaning	2	C0919867	Dental cleaning	UMLS_API			the process of removing plaque and tartar from teeth to prevent cavities and gum disease.
8571	hepatitisbeantigen	Hepatitis B e antigen	2						a protein found on the surface of the Hepatitis B virus.
8572	cerebellartumour	Cerebellar tumour	2						a mass lesion that arises from the cerebellum, a structure located at the back of the brain.  Cerebellar tumours are relatively rare, accounting for only 2-3% of all brain tumours. The majority of cerebellar tumours are benign, although a small number are malignant. Symptoms vary depending on the size and location of the tumour, but may include headache, nausea, vomiting, drowsiness, and problems with balance and coordination.   diagnosis of a cerebellar tumour may be made through a combination of clinical symptoms, physical examination, and imaging studies such as MRI
8573	scrotaldiscomfort	Scrotal discomfort	2	C5208072	Scrotal discomfort	UMLS_API			pain or discomfort in the scrotum
8574	urethralobstruction	Urethral obstruction	2	C0041972	Urethral Obstruction	UMLS_API		Partial or complete blockage in any part of the URETHRA that can lead to difficulty or inability to empty the URINARY BLADDER.	when the urethra is blocked and urine cannot flow freely from the bladder.
8575	rubulavirustest	Rubulavirus test	2						a diagnostic tool used to identify the presence of Rubulavirus, a virus that causes severe respiratory illness in people.
8576	bloodcorticotrophinincreased	Blood corticotrophin increased	2	C0853121	Blood corticotrophin increased	UMLS_API			A blood corticotrophin level that is increased above the normal range can indicate a number of disorders, such as Cushing's syndrome, Addison's disease, and adrenal tumors.
8577	cystogram	Cystogram	2	C0203126	Cystography	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	Radiography of the URINARY BLADDER.	A cystogram is a test that uses x-rays to look at the bladder and urethra. It is used to find out the cause of problems such as blood in the urine, pain while urinating, and frequent urination.
8578	pelvicfloormuscletraining	Pelvic floor muscle training	2						the use of specific exercises to target and strengthen the pelvic floor muscles.  Pelvic floor muscle training is a type of exercise that helps to tone and strengthen the pelvic floor muscles. These exercises can be done using Kegel balls, which help to target the muscles directly, or by clenching and releasing the muscles around the vagina. Strengthening the pelvic floor muscles can help to improve bladder control, reduce the risk of urinary incontinence, and improve sexual function.
8579	airembolism	Air embolism	2	C0013926	Air Embolism	UMLS_API		embolism due to air bubbles entering the blood vessels after trauma, surgical procedures, or changes in atmospheric pressure.	A medical emergency in which a gas bubble blocks a blood vessel, most often in the lungs.
8580	lossoftherapeuticresponse	Loss of therapeutic response	2						:  A loss of therapeutic response (LTR) is defined as a clinically significant decrease in the magnitude or duration of a therapeutic response to a drug or other intervention.
8581	amyotrophy	Amyotrophy	2	C0026846	Muscular Atrophy	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.99	Derangement in size and number of muscle fibers occurring with aging, reduction in blood supply, or following immobilization, prolonged weightlessness, malnutrition, and particularly in denervation.	a medical condition that is characterized by the wasting away of muscle tissue.
8582	noninfectiveoophoritis	Noninfective oophoritis	2	C0029051	Oophoritis	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	7.37	Inflammation of the OVARY, generally caused by an ascending infection of organisms from the endocervix.	inflammation of the ovary that is not caused by a bacterial or viral infection
8583	hepatitisaantibodynormal	Hepatitis A antibody normal	2	C0062524	hepatitis A virus antibodies	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	12.43	Antibodies to the HEPATITIS A ANTIGENS including antibodies to envelope, core, and non-structural proteins.	A negative result for hepatitis A antibody is considered normal.
8584	prothrombintimeratio	Prothrombin time ratio	2						The Prothrombin time ratio (PTR) is a measure of the effectiveness of anticoagulation therapy. The PTR is calculated by dividing the patient's prothrombin time (PT) by the international normalized prothrombin time (INPT).
8585	ultrasoundheadabnormal	Ultrasound head abnormal	2						:  An ultrasound head abnormality is a physical condition that affects the ultrasound head. This can include anything from a physical defect in the ultrasound head to a problem with the way the ultrasound head is scanning.
8586	persistentgenitalarousaldisorder	Persistent genital arousal disorder	2						a rare disorder characterized by unexplained and persistent genital arousal in the absence of sexual desire or emotion.
8587	blooderythropoietinnormal	Blood erythropoietin normal	2	C0014822	Erythropoietin	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	23.02	Glycoprotein hormone, secreted chiefly by the KIDNEY in the adult and the LIVER in the FETUS, that acts on erythroid stem cells of the BONE MARROW to stimulate proliferation and differentiation.	A level of erythropoietin considered to be within the normal range.
8588	respiratorysyncytialvirusbronchitis	Respiratory syncytial virus bronchitis	2	C0006277	Bronchitis	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.99	Inflammation of the large airways in the lung including any part of the BRONCHI, from the PRIMARY BRONCHI to the TERTIARY BRONCHI.	RSV bronchitis is a viral infection of the lungs that can cause wheezing, difficulty breathing, and chest congestion.
8589	segmentedhyalinisingvasculitis	Segmented hyalinising vasculitis	2						This is a rare autoimmune disorder that causes inflammation and damage to the blood vessels. The damage leads to the formation of segments of hyalinized tissue in the vessel walls. This condition can affect any type of blood vessel, but is most often seen in the smaller vessels in the skin, kidneys, and gastrointestinal tract. Symptoms vary depending on which vessels are affected, but may include skin rashes, blood in the urine, and problems with digestion. There is no known cure for segmented hyalinizing vasculitis, but treatment focuses on relieving symptoms.
8590	malignantlymphoidneoplasm	Malignant lymphoid neoplasm	2						A cancerous tumor composed of lymphocytes, cells that are part of the body's immune system.
8591	salivaryglandcancer	Salivary gland cancer	2						:  A cancer that arises from the salivary glands, which are the glands that produce saliva. Salivary gland cancers may be either benign or malignant.
8592	hydrometra	Hydrometra	2	C0948277	Hydrometra	METAMAP_STRING_MATCH			A condition in which there is an accumulation of fluid in the uterus.
8593	birdshotchorioretinopathy	Birdshot chorioretinopathy	2	C1853959	Birdshot Chorioretinopathy	METAMAP_STRING_MATCH		A form of chorioretinitis characterized by multiple small, cream-colored LESIONS, symmetrically scattered mainly around the OPTIC DISK.	a rare eye disorder that results in damage to the retina.  Birdshot chorioretinopathy is a rare eye disorder that results in damage to the retina. It is characterized by small spots or lesions on the retina that can cause vision loss. The cause of birdshot chorioretinopathy is unknown, but it is thought to be an autoimmune disorder. There is no cure for birdshot chorioretinopathy, but treatment may include medications to suppress the immune system and laser surgery to restore vision.
8594	eyelidretraction	Eyelid retraction	2	C0234665	Eyelid retraction	METAMAP_STRING_MATCH			a condition in which the upper eyelids are pulled away from the eye, exposing more of the white part of the eye (sclera).
8595	scrotalmass	Scrotal mass	2	C0149774	scrotal mass	METAMAP_STRING_MATCH			A scrotal mass is a lump or enlargement in the scrotum, the sac of skin that hangs below the penis. The most common type of scrotal mass is a fluid-filled cyst called a hydrocele. Other causes of scrotal masses include:  -Testicular cancer -Epididymitis, a inflammation of the epididymis, the coiled tube at the back of the testicle that stores and carries sperm -Varicocele, a mass or swelling of the veins that run along the surface of the testicle -Injury or infection of
8596	bileductstenosis	Bile duct stenosis	2	C0267925	Bile Duct Stenosis	METAMAP_STRING_MATCH			A narrowing of the bile ducts. This may be caused by tumors, scarring from injuries or surgery, or other factors.
8597	bileductstentremoval	Bile duct stent removal	2						The surgical removal of a bile duct stent from within the biliary tree. This is a common procedure performed to relieve biliary obstruction or to remove a damaged bile duct stent.
8598	hyperparathyroidismsecondary	Hyperparathyroidism secondary	2						A metabolic disorder characterized by an excessive secretion of parathyroid hormone (PTH) by the parathyroid glands, resulting in a rise in the blood serum levels of calcium and phosphorus and a decrease in the serum levels of magnesium.
8599	lymphaticfistula	Lymphatic fistula	2						A tear or hole in the lymphatic system, which can cause swelling, pain, and drainage.
8600	postproceduralurineleak	Post procedural urine leak	2	C0042024	Urinary Incontinence	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	6.45	Involuntary loss of URINE, such as leaking of urine.	A bladder or urethral problem that continues after surgery, radiation therapy, or other treatments. Post procedural urine leaks can cause pain and difficulty urinating.
8601	astrovirustest	Astrovirus test	2						a medical procedure that uses a microscope to look for the presence of the Astrovirus virus in a sample of body fluid or tissue.
8602	recallphenomenon	Recall phenomenon	2						A phenomenon in which people remember things better when they are reminded of them at a later time.
8603	spinalsynovialcyst	Spinal synovial cyst	2						a fluid-filled sac located in the spinal column.  A spinal synovial cyst is a fluid-filled sac located in the spinal column. These sacs are usually benign (non-cancerous), but can cause pain if they grow large enough. Treatment options include surgery or, in some cases, steroid injections.
8604	diseasesusceptibility	Disease susceptibility	2	C0012655	Disease susceptibility	METAMAP_STRING_MATCH		A constitution or condition of the body which makes the tissues react in special ways to certain extrinsic stimuli and thus tends to make the individual more than usually susceptible to certain diseases.	the propensity of an organism to develop a particular disease or pathogen.  It is the tendency of an organism to develop a particular disease or pathogen.
8605	bloodtestosteronefreedecreased	Blood testosterone free decreased	2						:  testosterone levels that are lower than normal
8606	cardiactherapeuticprocedure	Cardiac therapeutic procedure	2	C0876964	Cardiac Therapeutic Procedure	METAMAP_STRING_MATCH			A cardiac therapeutic procedure is a procedure that is used to diagnose or treat a heart condition.
8607	glutamatedehydrogenase	Glutamate dehydrogenase	2	C0017786	Glutamate Dehydrogenase	METAMAP_STRING_MATCH		An enzyme that catalyzes the conversion of L-glutamate and water to 2-oxoglutarate and NH3 in the presence of NAD+.	an enzyme that catalyzes the conversion of glutamate to alpha-ketoglutarate and ammonia
8608	phurineabnormal	pH urine abnormal	2						urine pH is abnormal if it is 7 or lower or if it is 9 or higher.
8609	postproceduraldrainage	Post procedural drainage	2						The systematic drainage of fluid collections (hematoma, seroma, and effusions) that occur after surgery.
8610	milksoyproteinintolerance	Milk soy protein intolerance	2	C0452741	Soy Milk	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	10.13	A beverage prepared from SOYBEANS.	a condition that results in an inability to digest milk soy protein. This condition is caused by a lack of the digestive enzyme lactase, which is needed to break down the milk sugar lactose. When lactase is not present, the milk sugar remains in the intestine, where it is fermented by bacteria. This fermentation produces gas and intestinal discomfort.  Milk soy protein intolerance is a fairly common condition, affecting up to 50% of people who are of Asian descent and up to 15% of people of European descent. The condition is also more common in people who are overweight or have diabetes.  Symptoms of milk soy protein
8611	high-resolutioncomputerisedtomogramoflung	High-resolution computerised tomogram of lung	2						A high-resolution computerised tomogram of lung is an image of the lungs that has been created by a computerised tomography (CT) scanner. This image is used to diagnose and assess the severity of lung conditions, such as pneumonia, lung cancer, and asthma.
8612	metanephrineurineincreased	Metanephrine urine increased	2						A urine test that shows an increase in the level of metanephrine may be a sign of pheochromocytoma.
8613	periprostheticfracture	Periprosthetic fracture	2						A fracture around a joint prosthesis
8614	prostaticobstruction	Prostatic obstruction	2	C0268889	Prostatic Obstruction	METAMAP_STRING_MATCH			A condition where the prostate gland enlarges and blocks the urethra, preventing the flow of urine.
8615	bronchogram	Bronchogram	2						a radiograph of the bronchi and lungs, typically obtained to detect obstruction or disease
8616	fluidbalancepositive	Fluid balance positive	2						A fluid balance is positive if more fluids are taken in than are lost. This usually means that the person is drinking more fluids than they are urinating.
8617	brugadasyndrome	Brugada syndrome	2						a condition where an abnormal heart rhythm, which can cause sudden cardiac death, is present.  Symptoms of Brugada syndrome can include fainting, chest pain, and an irregular heartbeat.  Brugada syndrome is caused by an abnormality in the sodium channels in the heart. This can lead to an abnormal heart rhythm, which can cause sudden cardiac death.  Brugada syndrome is treated with medications to control the heart rhythm and, if necessary, an implantable device to help control the heart rhythm.
8618	angioscopy	Angioscopy	2	C0162873	Angioscopy	METAMAP_STRING_MATCH		Endoscopic examination, therapy or surgery performed on the interior of blood vessels.	A close examination of the interior of a blood vessel or other body cavity, typically by using a fiberoptic endoscope.
8619	redbloodcellspherocytes	Red blood cell spherocytes	2	C0037888	Spherocytes	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	7.37	Small, abnormal spherical red blood cells with more than the normal amount of hemoglobin.	A red blood cell that is contorted and has a reduced surface area as a result of a deficiency in the proteins that stabilize the cell membrane.
8620	heavymetaltest	Heavy metal test	2						a blood test that is used to measure the amount of heavy metals in your blood.
8621	vaccinationsitejointdiscomfort	Vaccination site joint discomfort	2	C0042196	Vaccination	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	13.81	Administration of vaccines to stimulate the host's immune response.	A condition marked by pain, swelling, and limited range of motion in a joint that was injected with a vaccine.
8622	vaginalfistula	Vaginal fistula	2	C0042253	Vaginal Fistula	METAMAP_STRING_MATCH		An abnormal anatomical passage that connects the VAGINA to other organs, such as the bladder (VESICOVAGINAL FISTULA) or the rectum (RECTOVAGINAL FISTULA).	A hole that develops between the vagina and the bladder, rectum, or other organs.
8623	hyperaldosteronism	Hyperaldosteronism	2	C0020428	Hyperaldosteronism	METAMAP_STRING_MATCH		A condition caused by the overproduction of ALDOSTERONE.	The definition of Hyperaldosteronism is a disorder that is caused by the overproduction of the hormone aldosterone.
8624	anaemiapostoperative	Anaemia postoperative	2						Anaemia is a condition in which the body does not have enough healthy red blood cells.
8625	nasalseptaloperation	Nasal septal operation	2						the surgical procedure to correct a deviated nasal septum.
8626	incisionsitepruritus	Incision site pruritus	2						Itching at the site of an incision
8627	lungadenocarcinomastageiv	Lung adenocarcinoma stage IV	2						Lung adenocarcinoma is a type of cancer that begins in the cells that line the air passages of the lungs.Stage IV is the most advanced stage of the disease.At this stage, the cancer has spread beyond the lungs to other parts of the body, such as the brain, liver, or bones.
8628	inabilitytoaffordmedication	Inability to afford medication	2						a state or situation in which a person cannot afford to purchase necessary medications.
8629	acutemacularneuroretinopathy	Acute macular neuroretinopathy	2	C5200735	Acute Macular Neuroretinopathy	METAMAP_STRING_MATCH			Acute macular neuroretinopathy is a rare disorder that affects the retina, the nerve layer at the back of the eye that senses light. In acute macular neuroretinopathy, blood vessels in the retina become inflamed and leak fluid. This results in a sudden loss of vision in the center of the visual field.
8630	devicephysicalpropertyissue	Device physical property issue	2						A physical property issue is a problem that arises with a device due to its physical characteristics. examples of physical property issues can include device malfunction, device damage, and device failure.
8631	naturalkillertcellcountincreased	Natural killer T cell count increased	2	C2350466	Natural Killer T-Cells	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	10.13	A specialized subset of T-LYMPHOCYTES that exhibit features of INNATE IMMUNITY similar to that of NATURAL KILLER CELLS.	A rise in the number of natural killer T cells, a type of white blood cell, in the body.
8632	catecholaminesurinenormal	Catecholamines urine normal	2						that the Catecholamines are typically present in urine in very low concentrations.
8633	sacroiliacjointdysfunction	Sacroiliac joint dysfunction	2						"not available online. However, a definition can be found in the book ""Orthopedic Physical Assessment"" by David J. Magee.  Sacroiliac joint dysfunction is a condition where there is pain in the sacroiliac joint. The pain may be due to problems with the joint itself, or due to problems with the muscles and ligaments that support the joint."
8634	fistula	Fistula	2						:  A surgically created opening connecting an organ, vessel, or cavity to the exterior of the body.
8635	antifungaltreatment	Antifungal treatment	2						the use of medication to kill or stop the growth of fungi.
8636	testicularhaemorrhage	Testicular haemorrhage	2						the rupture of a blood vessel in the testicles, which can cause pain, swelling and bruising in the scrotum.
8637	pulmonaryvalvethickening	Pulmonary valve thickening	2						Pulmonary valve thickening is a condition in which the pulmonary valve becomes thickened and stiff.
8638	mechanicalventilationcomplication	Mechanical ventilation complication	2	C1868711	Mechanical Ventilation Complication	METAMAP_STRING_MATCH			Mechanical ventilation complications are medical problems that can occur in people who are on a mechanical ventilator. These problems can include infection, pneumonia, blood clots, and equipment failure.
8639	atrialappendageclosure	Atrial appendage closure	2						The closure of the atrial appendage, a small, finger-like projection at the upper opening of the heart's left atrium.
8640	toothrestoration	Tooth restoration	2						The process of restoring a tooth to its original form and function.
8641	vitaminb6deficiency	Vitamin B6 deficiency	2	C0936215	Vitamin B 6 Deficiency	METAMAP_STRING_MATCH		A nutritional condition produced by a deficiency of VITAMIN B 6 in the diet, characterized by dermatitis, glossitis, cheilosis, and stomatitis.	not available.
8642	benignuterineneoplasm	Benign uterine neoplasm	2	C0153999	Benign Uterine Neoplasm	METAMAP_STRING_MATCH			A benign tumor is a mass or lump that is not cancer.
8643	hepatectomy	Hepatectomy	2	C0019144	Hepatectomy	METAMAP_STRING_MATCH		Excision of all or part of the liver.	Removal of a portion or all of the liver
8644	bladdercatheterremoval	Bladder catheter removal	2						the removal of a bladder catheter.
8645	pneumonitisaspiration	Pneumonitis aspiration	2						A serious lung infection that can occur after sucking liquids, food, or vomit (called vomit-induced pneumonia) into the lungs.
8646	congenitalcerebrovascularanomaly	Congenital cerebrovascular anomaly	2						a congenital malformation of a blood vessel in the brain.
8647	fluidbalanceassessment	Fluid balance assessment	2						A fluid balance assessment is a procedure that is used to determine whether a person has too much or too little fluid in their body.
